PLAYER	RATING
4k.c 5	2974
4k.c 8	3063
4ku 1.1	2608
4ku 2.0	2781
4ku 3.0	2907
4ku 3.1	2910
4ku 4.0	3040
4ku 5.1	3036
Abbess 2016.12.11	2149
Abbess 2018.02.07	2171
Abbess 2022B	2386
AbhinEngine 1.0.1	1713
Abrok 5.0	2510
Absolute-Zero 2.4.0.0	2348
Absolute-Zero 2.4.4.0	2342
Absolute-Zero 2.4.7.2	2398
Absolute-Zero 3.3.2.0	2414
Abulafia 0.61	1597
ACE 0.1	698
Achillees 1.0	2298
Achillees 1.0.1	2278
Aconcagua 4.1.0	2535
Aconcagua 5.0.0	2695
Aconcagua 5.1.0	2720
Acqua 20160614	870
Acqua 20160918	843
AcquaD 3.2.26	888
AcquaD 3.9.1 LDC	1027
AdaChess 1.0	1236
AdaChess 2.0	1762
AdaChess 20161108	1808
AdaChess 20170209	1801
AdaChess 3.1	1926
AdaChess 3.4	1846
AdaChess 3.6	2072
AdaChess 4.0	2146
Adam 3.1	2195
Adam 3.2	2234
Adam 3.3	2321
Adamant 1.7	1871
Admete 1.2.1	2347
Admete 1.3.0	2451
Admete 1.4.0	2477
Admete 1.5.0	2600
Admete 1.6.0	2797
Admete 1.7.0	2885
Admete 1.8.0	3096
AdroitChess 0.3	2110
AdroitChess 0.4	2189
AICE 0.99.2	2416
Ajedrez Tactico 2.73b	1937
akimbo 0.1.1	2530
akimbo 0.2.0	2586
akimbo 0.3.0	2652
akimbo 0.4.0	2784
akimbo 0.4.1	2873
akimbo 0.5.0	3044
akimbo 0.6.0	3346
akimbo 0.7.0	3405
akimbo 0.8.0	3458
akimbo 1.0.0	3489
Aku 2025.7.9	3060
Alaric 0702b	2648
Alaric 704	2674
Alaric 707	2717
Alarm 0.93.1	2264
ALChess 1.5b	1804
ALChess 1.7	1977
ALChess 1.84	2078
Alcibiades 0.2.7	2184
Alcibiades 0.3.0	2179
Aldebaran 0.7.0	1850
Alex 1.78	1931
Alex 1.96	2190
Alex 2.03	2287
Alex 2.07a	2407
Alex 2.09	2381
Alex 2.12a	2412
Alex 2.13	2405
Alex 2.14a	2441
Alexandria 2.3	3112
Alexandria 2.4	3242
Alexandria 3.0	3245
Alexandria 3.0.1	3276
Alexandria 3.0.2	3286
Alexandria 3.1.0	3296
Alexandria 3.5	3342
Alexandria 4.0	3449
Alexandria 5.0	3532
Alexandria 5.1.0	3543
Alexandria 6.0.0	3556
Alexandria 6.1.0	3581
Alexandria 7.0.0	3606
Alexandria 7.1.0	3622
Alexandria 8.0.0	3630
Alexandria 8.1.0	3634
Alexandria 8.1.12	3638
Alexandria 8.1.2	3638
Alexandria 9.0.0	3646
Alf 1.09	2229
Alfil 11	2620
Alfil 12	2680
Alfil 13.1	2696
Alfil 15.7	3080
Alfil 15.8	3002
Alfil 6.10	2425
Alfil 7.6	2429
Alfil 8.1.1	2675
Algae 1.0	1179
Alibaba 1.38	1732
Alibaba 1.40	1604
AliChess 4.06	2309
AliChess 4.08	2277
AliChess 4.16	2295
AliChess 4.18	2324
AliChess 4.19	2324
AliChess 4.20	2350
AliChess 4.21	2339
AliChess 4.25	2335
Allie 0.5	3406
Alouette 0.0.3	758
Alouette 0.0.5	1007
Alouette 0.1.1	1035
Alouette 0.1.4	927
Alouette 0.1.5	913
Alpaca 0.2.5	1809
Alpaca 0.2.6	1821
Altair 1.0.0	2468
Altair 2.0.0	2881
Altair 3.0.0	3030
Altair 4.0.0	3070
Altair 5.0.0	3176
Altair 6.0.0	3450
Altair 7.0.0	3497
Amateur 2.82	2443
Amateur 2.86	2441
Amelia 0.12	1926
Amelia 0.15	2059
Amira 1.0	2317
Amira 1.4	2406
Amira 1.61	2626
Amira 1.71	2647
Amira 1.79	2658
Amira 1.82	2764
Amoeba 1.0	2703
Amoeba 1.2	2703
Amoeba 1.3	2748
Amoeba 1.4	2762
Amoeba 2.0	2791
Amoeba 2.1	2781
Amoeba 2.3	2824
Amoeba 2.4	2868
Amoeba 2.5	2907
Amoeba 2.6	2939
Amoeba 2.7	2949
Amoeba 2.8	2966
Amoeba 3.0	3012
Amoeba 3.1	3026
Amoeba 3.2	3038
Amoeba 3.3	3026
Amoeba 3.4	3046
Amundsen 0.65.1	2267
Amundsen 0.80	2431
Amy 0.87b	2461
Amy 0.9.5	2466
Amy 0.9.7	2529
Amyan 1.597	2535
Amyan 1.62	2608
Amyan 1.72	2660
Anaconda 2.0.1	2612
Anatoli 0.35k	2532
Andscacs 0.62u	2670
Andscacs 0.62w	2718
Andscacs 0.63	2780
Andscacs 0.64	2797
Andscacs 0.70	2882
Andscacs 0.71	2929
Andscacs 0.72	2990
Andscacs 0.80	2991
Andscacs 0.81	3048
Andscacs 0.82	3051
Andscacs 0.83	3070
Andscacs 0.84	3102
Andscacs 0.85	3094
Andscacs 0.86	3129
Andscacs 0.872	3154
Andscacs 0.88	3158
Andscacs 0.89	3182
Andscacs 0.90	3184
Andscacs 0.91	3182
Andscacs 0.91b	3122
Andscacs 0.92	3202
Andscacs 0.921	3204
Andscacs 0.93	3190
Andscacs 0.94	3190
Andscacs 0.95	3199
Anechka 0.08	2342
Anka 0.5.0	2371
Anka 0.6.0	2505
Anka 0.6.3	2528
AnMon 5.50	2582
AnMon 5.60	2581
AnMon 5.66	2585
AnMon 5.75	2603
Annie 1.2	2773
Anodos 1.3.0	2663
Ant 2006-F	2331
Anubis 3.01	3137
Anubis 3.02	3161
Anubis 3.06	3164
Apep 0.1.0	1651
APILChess 1.05r1b	1634
APILChess 1.05r1c	1670
Apollo 1.1	1530
Apollo 1.2.1	1923
Apotheosis 1.0.1	1897
Apotheosis 2.0.0	2117
Apotheosis 3.0.0	2416
Apotheosis 4.0.1	2819
Arabian Knight 1.51	2012
Arabian Knight 1.55	2105
Aramis 1.3.0	2525
Aramis 1.4.0	2817
Arasan 10.0	2542
Arasan 10.1	2504
Arasan 10.2	2536
Arasan 10.3	2560
Arasan 10.4	2530
Arasan 11.3	2525
Arasan 11.4	2547
Arasan 11.6	2610
Arasan 11.7	2609
Arasan 12.0	2610
Arasan 12.1	2612
Arasan 12.2	2589
Arasan 12.3	2623
Arasan 13.0	2660
Arasan 13.1	2639
Arasan 13.2	2652
Arasan 13.4	2688
Arasan 14.1	2673
Arasan 14.3	2665
Arasan 15.1	2756
Arasan 15.6	2775
Arasan 16.0	2768
Arasan 16.1	2795
Arasan 16.2	2781
Arasan 16.3	2831
Arasan 17.0	2831
Arasan 17.1	2840
Arasan 17.2	2839
Arasan 17.3	2840
Arasan 17.4	2887
Arasan 17.5	2893
Arasan 18.0	2916
Arasan 18.2	2940
Arasan 18.3	2934
Arasan 19.0.1	2941
Arasan 19.1	2962
Arasan 19.2	3001
Arasan 20.0	3006
Arasan 20.1	3027
Arasan 20.2	3067
Arasan 20.3	3058
Arasan 20.4.1	3076
Arasan 20.5	3074
Arasan 21.0	3074
Arasan 21.1	3122
Arasan 21.2	3125
Arasan 21.3	3144
Arasan 21.4	3152
Arasan 22.0	3167
Arasan 22.1	3182
Arasan 22.2	3184
Arasan 22.3	3164
Arasan 23.0	3135
Arasan 23.0.1	3330
Arasan 23.1	3274
Arasan 23.2	3358
Arasan 23.3	3404
Arasan 23.4	3418
Arasan 23.5	3409
Arasan 24.0	3490
Arasan 24.1	3510
Arasan 24.2.2	3518
Arasan 25.0	3529
Arasan 25.1	3552
Arasan 25.2	3563
Arasan 25.3	3553
Arasan 9.2	2443
Arasan 9.5	2499
Arcanum 1.11.1	2294
Arcanum 1.12	2377
Arcanum 2.0	2564
Arcanum 2.1	2797
Arcanum 2.2	2939
Arcanum 2.3	3102
Arcanum 2.3.1	3114
Arcanum 2.4	3179
Arcanum 2.5	3255
Arcanum 2.6	3304
Arcanum 2.7	3366
Arche 0.3.3	1516
Ares 1.0	2333
Ares 1.003a	2382
Ares 1.004	2437
Ares 1.005	2497
Ares 1.005.2	2504
Ares 1.005.2.1	2506
Ares 2.3.14	2568
Ares 2.3.15	2536
Ares 2.5	2553
Ares 3.0.3	2908
Ares 5.2.4	2969
Ares 5.45	3038
Ares GB	2473
Ares GB 1.1	2474
Arion 1.7	2426
Aristarch 4.50	2638
Aristarch 4.51	2656
Armageddon 2.308	2121
Arminius 2013-08-10	2648
Arminius 2014-01-18	2568
Arminius 2015-08-06	2646
Arminius 2017-01-01	2734
Arminius 2018-12-23	2809
asmBrainFish 170825	3509
asmBrainFish 171107	3502
asmBrainFish 180510	3542
asmBrainFish 9	3528
asmFish 170819	3447
asmFish 171019	3456
asmFish 171119	3453
asmFish 180503	3493
asmFish 191017	3451
asmFish 9	3481
Asterisk 0.6	2405
Asterisk 0.6b	2398
Astra 3.2	2938
Astra 4.0.1	3301
Astra 4.1	3338
Astra 5.0	3500
Astra 5.1	3562
Astra 5.1.1	3537
Astra 5.2	3570
Astra 6.0	3597
Astra 6.1.1	3602
Asymptote 0.1.8	2279
Asymptote 0.2.0	2407
Asymptote 0.3	2564
Asymptote 0.4.2	2656
Asymptote 0.5	2729
Asymptote 0.6	2891
Asymptote 0.6.3	2907
Asymptote 0.7	2922
Asymptote 0.8	2961
Atak 6.0	2247
Atak 6.2	2171
Atak 6.5	2269
Atak 6.7	2314
Atak 6.8	2302
Athena 1.0.1	1806
Atlas 2.20	2298
Atlas 3.14b	2505
Atlas 3.20	2608
Atlas 3.25	2634
Atlas 3.50	2729
Atlas 3.60	2749
Atlas 3.70em	2838
Atlas 3.80	2907
Atlas 3.90	2946
Atlas 3.91	2938
Atlas 4.25	3089
Atlas 4.35	3123
Aurora 1.0.0	2332
Aurora 1.16.2	2530
Aurora 1.22.0	2680
Aurora 1.25.4	2747
Aurora 1.26.0	2855
Austerlitz 1.4.7	2385
Avalanche 0.2	2522
Avalanche 0.2.1	2616
Avalanche 0.2.2	2643
Avalanche 1.0.0	2805
Avalanche 1.1.0	2920
Avalanche 1.2.0	3050
Avalanche 1.3.0	3073
Avalanche 1.3.1	3135
Avalanche 1.4.0	3189
Avalanche 1.5.0	3227
Avalanche 2.0.0	3303
Avalanche 2.1.0	3347
Averno 0.81	2397
Ax 0.8	2158
Axolotl 1.1 Nov 2018	1618
Axolotl 1.5	2261
Axolotl 1.8	2491
Axolotl 1.9	2596
Ayito 0.2.994	2380
BACE 0.45	1822
BACE 0.46	1769
BACE 4.5	1792
BACE 4.6	1564
BadChessEngine 0.4.4	2124
Bagatur 1.2b	2243
Bagatur 1.2d	2301
Bagatur 1.3a	2399
Bagatur 1.4b	2501
Bagatur 1.4c	2402
Bagatur 1.4d	2508
Bagatur 1.4e	2517
Bagatur 1.5a	2438
Bagatur 1.5c	2483
Bagatur 1.5e	2565
Bagatur 1.5f	2577
Bagatur 1.5g	2570
Bagatur 1.6	2558
Bagatur 1.6c	2562
Bagatur 1.7	2703
Bagatur 1.7a	2743
Bagatur 1.8	2869
Bagatur 1.8a	2882
Bagatur 1.9	2955
Bagatur 1.9a	3011
Bagatur 2.0	3000
Bagatur 2.1	2975
Bagatur 2.2	3047
Bagatur 2.2a	3041
Bagatur 2.2c	3021
Bagatur 2.2e	3041
Bagatur 2.3	3039
Bagatur 3.0	3064
Bagatur 3.2	3053
Bagatur 3.3	3042
Bagatur 3.6b	3052
Bagatur 3.7a	3020
Bagatur 3.7b	3028
Bagatur 3.7d	3010
Bagatur 4.1a	3006
Bagatur 5.1	3341
Bagatur 5.1c	3413
Bagatur 5.2	3392
Bagatur 5.3	3417
Bagatur 5.4	3418
Baislicka 1.0	2304
BamBam	2033
Barbarossa 0.1.0	1967
Barbarossa 0.3.0	2261
Barbarossa 0.4.0	2353
Barbarossa 0.5.0	2410
Barbarossa 0.6.0	2522
Barbarossa 0.7.0	2568
BBC 1.0	2076
BBC 1.1	2199
BBC 1.2	2134
BBChess 1.3a	2533
BBChess 1.3b	2550
Beaches 2.32	1923
Bearded 06 29	2250
Bearded 06 29 02	2224
Bearded N44.2	2346
Bearded N44.5	2494
Beef 0.3.6	3124
Belette 2.0.0	2287
Belette 3.0.0	2857
BeLL 0.0.41	2062
Belofte 0.9.0	987
Belofte 0.9.12	1401
Belofte 0.9.3	1391
Belofte 2.0.8	1021
Belofte 2.1.0	1296
Belofte 2.1.1	1243
Belofte 2.1.2	1244
Belofte 2.1.3	1423
Belofte 2.1.5	1373
Belofte 2.1.8	1486
Belofte 2.1.9	1515
Belzebub 0.67	1812
Benjamin 1.0	2739
Benjamin 1.1	2808
Beowulf 2.4a	2319
BeRoChess 1.00	1895
Berserk 1.2.2	2276
Berserk 10	3540
Berserk 11	3589
Berserk 11.1	3577
Berserk 12	3623
Berserk 13	3628
Berserk 2.0.0	2625
Berserk 20250606	3639
Berserk 230818	3611
Berserk 3.2.0	2942
Berserk 3.2.1	2998
Berserk 4.1.0	3114
Berserk 4.2.0	3179
Berserk 4.4.0	3297
Berserk 4.5.1	3322
Berserk 5.0	3386
Berserk 6	3401
Berserk 6.0	3400
Berserk 7	3448
Berserk 7.0	3454
Berserk 8	3479
Berserk 8.5	3495
Berserk 8.5.1	3501
Berserk 9	3513
Bestia 0.90	2133
Betsabe II 1.05	2248
Betsabe II 1.08c	2323
Betsabe II 1.09	2384
Betsabe II 1.09c	2292
Betsabe II 1.28	2457
Betsabe II 1.30	2497
Betsabe II 1.47	2537
Betsabe II 1.66	2549
Betsabe II 1.75	2581
Betsabe II 1.84	2609
Betsabe II 1.96	2644
Betsabe II 2020	2660
Betsabe II 2023	2679
Betsy 6.51	2449
BibiChess 0.5	2068
Bienchen 1.0	2473
BigLion 2.23w	2174
BigLion 2.23x	2120
BikJump 1.3	1929
BikJump 1.8	2163
BikJump 2.01	2214
Bismark 1.4	2093
Bison 8.2.4r	2358
Bison 9.11	2802
Bison 9.6	2682
Bison 9.8	2713
bitbit 1.2	3086
bitbit 1.3	3147
bitbit 1.4	3260
bitbit 1.5	3302
bitbit 1.6	3299
Bitfoot 1.0.d9aeb43	2492
Bit-Genie 1.0.0	1911
Bit-Genie 2	2011
Bit-Genie 4	2334
Bit-Genie 5	2490
Bit-Genie 7	2772
Bit-Genie 8	2903
Bit-Genie 9	3084
Black Marlin 1.0	2878
Black Marlin 2.0	2963
Black Marlin 3.0	3112
Black Marlin 4.0	3173
Black Marlin 5.0	3277
Black Marlin 6.0	3353
Black Marlin 7.0	3408
Black Marlin 8.0	3462
Black Marlin 9.0	3501
BlackBishop 0.47	2271
BlackBishop 0.98	2260
BlackBishop 1.0	2270
BlackCore 1.0	2248
BlackCore 2.0	3038
BlackCore 3.0	3078
BlackCore 4.0	3206
BlackCore 5.0	3242
BlackCore 5.1	3339
BlackCore 6.0	3375
BlackMamba 1.2b	3046
BlackMamba 1.2c	3052
BlackMamba 1.4	3084
BlackMamba 2.0	3107
BLANK 1.2.0	1781
BLANK 1.3.0	1891
Blikskottel 0.8	1622
BlitzKibitz 5	1359
Blitzkrieg	2267
Blitzter 2.0	1313
Blocky 2.0.0	2672
Blunder 4.0.0	1865
Blunder 5.0.0	2198
Blunder 6.1.0	2271
Blunder 7.1.0	2503
Blunder 7.4.0	2607
Blunder 7.6.0	2695
Blunder 8.0.0	2732
Blunder 8.5.5	2747
Blunders 0.1.0	1589
Bobcat 2.75	2737
Bobcat 20110220	2628
Bobcat 20110414	2660
Bobcat 3.25	2765
Bobcat 6.4b	2840
Bobcat 7.1	2896
Bobcat 7.6	2944
Bobcat 8.0	2981
Bodo 0.2b	2178
Booot 4.10.1	2544
Booot 4.11.1	2532
Booot 4.12.0	2554
Booot 4.12.1	2565
Booot 4.13.0	2605
Booot 4.13.1	2627
Booot 4.14.0	2698
Booot 4.15.0	2730
Booot 4.15.1	2730
Booot 5.0	2859
Booot 5.1.0	2891
Booot 5.2.0	2948
Booot 6.0.2	3063
Booot 6.1	3108
Booot 6.2	3171
Booot 6.3	3227
Booot 6.3.1	3212
Booot 6.4	3252
Booot 6.5	3282
Booot 7.0	3364
Booot 7.0-beta	3351
Booot 7.1	3416
Booot 7.2	3476
Booot 7.3	3494
Booot 7.4	3577
Bouquet 1.5	3115
Bouquet 1.6	3123
Bouquet 1.8	3107
Boychesser 1.0	2795
Braincrack alpha	1572
BrainFish 170826	3486
BrainFish 171104	3489
BrainFish 171119	3496
BrainFish 180113	3500
BrainFish 180227	3517
BrainFish 180423	3514
BrainFish 180613	3533
BrainFish 180728	3542
BrainFish 190310	3568
BrainFish-2 11	3602
BrainFish-2 190310	3578
BrainFish-2 190531	3571
BrainFish-2 190726	3581
BrainFish-2 191007	3603
BrainFish-2 200329	3625
BrainFish-2 200724	3611
Brainless 20081212	2244
Brama 051204	1343
Bread 0.0.2	2095
Bread 0.0.8	2470
Bread 1.1.0	2686
Bread 1.2.0	2745
Bread 1.3.0	2750
Bread 1.4.0	2823
Bread 1.5.0	2955
Bread 1.5.5	2954
Bread 1.6.0	3010
Bread 2.0.0	3266
Bread 2.1.1	3355
Bread 3.0.0	3450
BremboCE 0.6.2	1931
Bright 0.1d	2703
Bright 0.2a	2699
Bright 0.2b	2742
Bright 0.2c	2753
Bright 0.3a	2807
Bright 0.3b	2825
Bright 0.3d	2825
Bright 0.4a	2837
Bright 0.5c	2824
Bruja 1.9.1	2542
Brutus	581
Brutus 5.4	2358
Brutus 6.0	2335
Brutus 6.1	2378
Brutus 7.02b	2588
Brutus 8.05	2632
BSC 3.9	2090
BSC 3.9++	2058
Bubble 1.5	2115
BugChess2 1.4.1	2418
BugChess2 1.5.1	2601
BugChess2 1.5.2	2614
BugChess2 1.6.2	2648
BugChess2 1.6.3	2701
BugChess2 1.6.4	2719
BugChess2 1.7	2753
BugChess2 1.9	2816
Bullitchess 1.0	1765
Bullitchess 1.0.1	1683
Bumblebee 1.0	2517
Bumblebee 1.0.36898e1	2504
Butcher 1.60n1	2347
Butcher 1.61	2369
Butcher 1.64	2357
Butter 1.0	1991
Butterfly 0.4	1632
Butterfly 0.5	1771
Buzz 0.07	2174
Buzz 0.08	2313
byte-knight 3.0.0	2453
c4ke 1.1	3207
c4ke 2.0	3238
c4ke 3.0	3282
Cadabra 1.0.0	1590
Cadabra 2.0.0	2147
Cadie 1.3	2915
Cadie 1.4	2927
Cadie 1.5	2975
Cadie 1.7	3032
Cadie 1.8	3125
Cadie 2.0	3194
Cadie 2.1	3255
Caissa 0.7.0	3189
Caissa 0.8	3274
Caissa 0.9	3295
Caissa 1.0	3325
Caissa 1.1	3355
Caissa 1.10	3493
Caissa 1.11	3514
Caissa 1.12	3532
Caissa 1.13.1	3546
Caissa 1.14.1	3569
Caissa 1.15	3579
Caissa 1.16	3589
Caissa 1.17	3595
Caissa 1.18	3597
Caissa 1.19	3601
Caissa 1.2	3360
Caissa 1.20	3611
Caissa 1.21	3618
Caissa 1.22	3620
Caissa 1.23	3624
Caissa 1.24	3623
Caissa 1.3	3364
Caissa 1.4	3379
Caissa 1.5	3386
Caissa 1.6	3396
Caissa 1.6.3	3418
Caissa 1.7	3453
Caissa 1.8	3475
Caissa 1.9	3486
Caligula 0.7b	2501
Caligula 0.8	2595
Caligula 0.9g	2672
Caligula 0.9i	2658
Caligula 1.0b	2739
Caligula 1.1	2760
Caligula 2.0	2943
Caligula 3.0	3093
Caligula 3.1	3146
Caligula 4.0	3223
Caligula 5.0	3231
Caligula 6.0	3286
Caligula 7.0	3288
Calvin 2.6.2	2332
Calvin 3.2.0	2385
Calvin 3.3.0	2564
Calvin 4.0.2	3026
Calvin 4.1.0	3127
Calvin 4.2.0	3131
Calvin 4.3.0	3274
Calvin 5.0.2	3335
Calvin 5.1.0	3417
Calvin 6.0.0	3488
Calvin 6.1.0	3532
Calvin 6.1.1	3528
Camel 1.2.0	2206
Camel 1.4.0	2293
Camel 1.5.0	2327
Camel 1.6.0	2360
Capivara LK 0.08a11	2355
Capivara LK 0.09a01a	2382
Capivara LK 0.09a02a	2393
Capivara LK 0.09a02c	2447
Capivara LK 0.09b02c	2629
Capivara LK 0.09b02d	2615
Capivara LK 0.09b02f	2631
Capivara LK 0.09b02g	2613
Captain 2.0	1227
Captain 4.0	2150
Capture	2462
Carballo 0.4	2001
Carballo 0.5	2189
Carballo 0.8	2268
Carballo 1.1	2447
Carballo 1.1.1	2447
Carballo 1.2	2536
Carballo 1.3	2532
Carballo 1.4	2615
Carballo 1.5	2628
Carballo 1.6	2747
Carballo 1.7	2780
Carp 2.0.0	3134
Carp 3.0.0	3468
Carp 3.0.1	3459
Casanchess 0.9	2835
Casper	1745
Cassandre 0.24	1370
Catalyst 1.0	3071
Catalyst 2.0.0	3218
Catto 0.12.6	1432
CDrill 1800 build 4	1954
CDrill 2000	2141
Cecir 3.5	1910
CederChess 1	1424
CederChess 2	1551
CeeChess 1.3	2342
CeeChess 1.3.2	2343
CeeChess 1.4	2502
CeeChess 2.0	2626
CeeChess 2.2	2674
Cefap 0.72	1638
Ceibo 0.3.65	1862
Ceibo 0.4	2117
Ceibo 0.5	2429
Ceibo 0.6	2469
Ceibo 0.7	2659
Ceibo 0.8	2758
Ceibo 0.9	2915
Ceibo 1.0	2989
Celeris 0.0.1	3111
Celeris 2.0	3424
Celes 0.77c	1959
Celes 0.78 RWBC	2098
Celestial 1.0	1842
Cerebro 3.03b	2509
Cerebro 3.03d	2543
CeruleanJS 0.1.1 Blizzard	1468
CeruleanJS 0.2.0 Cobalt	1582
CFish 12	3697
CFish 210324	3679
Chad's Chess 0.15	1190
chai 2.5.5	2278
chai 2.6.6	2349
chai 3.4.0	2434
Chal 1.3.0	2422
Chal 1.3.2	2577
Chancellor 1.0	1738
ChandraChess 2.0	3182
Chareth 2020-06-28	1941
Chaturanga 2.4.3	2382
Cheers 0.1	2503
Cheers 0.2	2686
Cheers 0.2.2	2686
Cheers 0.3.0	2892
Cheers 1.0.0	3036
Cheese 1.1b	2381
Cheese 1.2	2408
Cheese 1.3	2414
Cheese 1.3b	2390
Cheese 1.4	2541
Cheese 1.5	2569
Cheese 1.6.1	2612
Cheese 1.7	2721
Cheese 1.8	2742
Cheese 1.9	2773
Cheese 2.0	2831
Cheese 2.1	2866
Cheese 2.2	2889
Cheese 3.0.0	2881
Cheese 3.0.1	2871
Cheese 3.1.0	2976
Cheese 3.1.1	2958
Cheese 3.2.0	2967
Cheese 3.2.1	2956
Cheese 3.3.0	2963
Chenard 2009.09.19	1882
Chenard 2010.08.23	1914
Chenard 2013.02.27	1938
Chenard 2015.04.08	1913
Chenard 2015.08.14	1886
Chenard 2018.03.06	1934
Cheng 4.39	2972
Cheng 4.40	3023
Cheng 4.41	3056
Cheng 4.42	3090
Cheng 4.43	3138
Cheng 4.44	3182
Cheng 4.45	3255
Cheng 4.46	3332
Cheng 4.47	3367
Cheng 4.48	3399
Cheng3 1.02b	2515
Cheng3 1.03	2590
Cheng3 1.04	2641
Cheng3 1.05	2657
Cheng3 1.06	2621
Cheng3 1.07	2704
Cheng4 0.35a	2770
Cheng4 0.36a	2800
Cheng4 0.36c	2861
Cheng4 0.38	2934
Chengine	1847
Chers 0.3.2	1750
Chers 0.7.1	1902
Chers 0.8.0	1907
Chesley	2264
Chess 1.3.1 by David Cimbalista	1464
Chess 4.1a	1808
Chess System Tal 2.00	3565
Chess System Tal 2.00 Elo	3566
Chess System Tal 2.1	3404
Chess System Tal Extreme	3297
Chess Tiger 15	2694
Chess Tiger 2004	2648
Chess Tiger 2007	2744
Chess Tiger 2007 Gambit	2682
Chess Tiger 2007.1	2761
chess.cpp 4.0	3391
chess.cpp 4.10	3441
chess22k 1.1	2378
chess22k 1.10	2986
chess22k 1.11	3035
chess22k 1.12	3090
chess22k 1.13	3090
chess22k 1.14	3106
chess22k 1.2	2493
chess22k 1.3	2595
chess22k 1.4	2742
chess22k 1.5	2790
chess22k 1.6	2867
chess22k 1.7	2933
chess22k 1.8	2983
chess22k 1.9	2992
Chess-3 1.47	2730
Chess-3 2.0	2844
Chess-3 3.0	3020
Chess4j 0.1	1019
Chess4j 1.2	1146
Chess4j 2.0	1742
Chess4j 3.0	1938
Chess4j 3.1	1973
Chess4j 3.2	2075
Chess4j 3.4.1	2088
Chess4j 3.5	2113
Chess4j 5.1	2439
Chess4j 6.0	2433
chess4j 6.1	2441
chess4j 6.2	2478
ChessAlex 2.0r4	2303
Chessatron 1.0	2973
Chessatron 1.3.14159	2995
Chessatron 1.3.14c	2986
ChessBrainVB 2.05	2708
ChessBrainVB 3.02	2790
ChessBrainVB 3.03	2872
ChessBrainVB 3.20	2868
ChessBrainVB 3.31	2915
ChessBrainVB 3.50	2962
ChessBrainVB 3.60	2939
ChessBrainVB 3.61	3037
ChessBrainVB 3.66	3038
ChessBrainVB 3.68	3063
ChessBrainVB 3.70	3048
ChessBrainVB 3.72	3077
ChessBrainVB 3.74	3077
ChessBrainVB 4.00	3107
ChessBrainVB 4.02	3173
ChessBrainVB 4.03a	3163
ChessGM 0.7.0	2589
Chessier 0.1.0	1617
Chessika 2.21	1613
Chessika 2.27	1606
ChessKISS 1.3	2070
ChessKISS 1.3a	2110
ChessKISS 1.7	2288
ChessKISS 1.7c	2272
ChessKISS 1.8	2263
ChessKISS 1.8d	2297
Chessmaster 11	2738
Chessmaster 11 Aiglos II	2757
Chessmaster 11 Archangel	2762
Chessmaster 11 Conqueror	2745
Chessmaster 11 Gil-Galad	2745
Chessmaster 11 Leonidas	2732
Chessmaster 11 Paralyse	2741
Chessmaster 11 Toxic	2741
ChessMatrix 1.0.4	2072
ChessMatrix 1.0.5	2002
ChessMatrix 1.0.6	2052
ChessMatrix 1.1.1	2195
ChessMind 0.80	2082
ChessMind 0.82	2171
Chessnix 1.0	2873
Chessnix 1.2	3029
